College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Maeer'S Maharashtra Institute Of Pharmacy,Maharashtra,Pharmacy,654,670,8.8,8,8,8.5,9.5,9,9.5
Ves College Of Pharmacy,Maharashtra,Pharmacy,654,670,9.1,9.4,8.6,9.4,9,8.8,9.5
"Dr Dy Patil College Of Pharmacy Akurdi,",Maharashtra,Pharmacy,654,670,7.1,7,5,6.5,9,7,8
"Mvp Samaj'S College Of Pharmacy, Nashik",Maharashtra,Pharmacy,654,670,7.7,8.7,6.7,9,7,7.7,7.3
"Modern College Of Pharmacy Nigdi, Pune",Maharashtra,Pharmacy,654,670,7.7,8.4,7.2,8.3,8.2,6.8,7.5
"Ramnarain Ruia Autonomous College, Mumbai",Maharashtra,Pharmacy,654,670,7.9,8.4,7,8,8.4,6.6,8.9
Savitribai Phule Pune University,Maharashtra,Pharmacy,654,670,7.6,8.1,7.1,7.9,7.9,6.8,7.5
"Dy Patil University, Navi Mumbai",Maharashtra,Pharmacy,654,670,7.5,7.3,7.1,7.7,7.5,7.4,7.8
Narsee Monjee Institute Of Management Studies,Maharashtra,Pharmacy,654,670,8.1,8.4,7.6,8.5,8.1,7.9,8.2
Seth Gs Medical College,Maharashtra,Pharmacy,654,670,8,8.8,6.7,7.6,8,8.2,8.4
Mumbai University,Maharashtra,Pharmacy,654,670,7.2,7.6,6.5,7.9,7.4,6.6,7
Mahatma Gandhi Institute Of Medical Sciences,Maharashtra,Pharmacy,654,670,8.1,8.7,7.9,7.9,7.7,8.6,7.5
"Pravara Rural College Of Pharmacy (Diploma), Ahmed",Maharashtra,Pharmacy,654,670,8.5,8.7,8.3,8.7,8.3,8,8.7
Rajgad Dnyanpeeth'S College Of Pharmacy,Maharashtra,Pharmacy,654,670,7.8,8,9.5,6.7,8,6.7,7.7
Dr. Vithalrao Vikhe Patil Foundation'S Medical College,Maharashtra,Pharmacy,654,670,8.3,8.5,7.4,8.6,9.4,8.3,7.4
Bharati Vidyapeeth Deemed University,Maharashtra,Pharmacy,654,670,7.8,8.1,6.8,7.9,8.1,7.7,8.2
"P Wadhwani College Of Pharmacy, Yavatmal",Maharashtra,Pharmacy,654,670,8.4,8.2,7.4,8.2,8,7.5,8.1
